ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
31632,variation,UL-R01-23M01C03-T4,,Polera Alpine Navy Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,3,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M01C03,,,,,,1,8433856088427,The Indian Face,The Indian Face,Talla,M,,1,
31641,variation,UL-R01-23M03C01-T3,,Polera Classic White - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C01,,,,,,1,8433856088700,The Indian Face,The Indian Face,Talla,S,,1,
31647,variation,UL-R01-23M03C05-T3,,Polera Classic Red - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C05,,,,,,1,8433856089141,The Indian Face,The Indian Face,Talla,S,,1,
31660,variation,UL-R01-23M03C06-T3,,Polera Classic Grey - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C06,,,,,,1,8433856089257,The Indian Face,The Indian Face,Talla,S,,1,
31669,variation,UL-R01-23M03C07-T3,,Polera Classic Navy Blue - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C07,,,,,,1,8433856089363,The Indian Face,The Indian Face,Talla,S,,1,
31680,variation,UL-R02-23M03C01-T3,,Poleron Hoodie Classic White - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,78990,,,,,,,UL-R02-23M03C01,,,,,,1,8433856090604,The Indian Face,The Indian Face,Talla,S,,1,
31685,variation,UL-R02-23M03C06-T3,,Poleron Hoodie Classic Grey - S,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,1,,0,0,,,,,0,,,78990,,,,,,,UL-R02-23M03C06,,,,,,1,8433856091151,The Indian Face,The Indian Face,Talla,S,,1,
29593,variation,IF-R01-23M01C01-T4,8433856084665,Polera Spirit White - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C01,,,,,,2,8433856084665,The Indian Face,The Indian Face,Talla,M,,1,
29605,variation,IF-R01-23M01C03-T4,8433856084887,Polera Spirit Red - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C03,,,,,,2,8433856084887,The Indian Face,The Indian Face,Talla,M,,1,
29639,variation,IF-R01-23M01C04-T4,8433856084993,Polera Spirit Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,1,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C04,,,,,,2,8433856084993,The Indian Face,The Indian Face,Talla,M,,1,
29650,variation,IF-R01-23M01C05-T4,8433856085105,Polera Spirit Navy Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,3,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C05,,,,,,2,8433856085105,The Indian Face,The Indian Face,Talla,M,,1,
29663,variation,IF-R01-23M03C01-T5,8433856085587,Polera Nomad White - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C01,,,,,,2,8433856085587,The Indian Face,The Indian Face,Talla,L,,1,
29674,variation,IF-R01-23M03C02-T5,8433856085648,Polera Nomad Blue - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,1,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C02,,,,,,2,8433856085648,The Indian Face,The Indian Face,Talla,L,,1,
29684,variation,IF-R01-23M03C03-T4,8433856085693,Polera Nomad Navy - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C03,,,,,,2,8433856085693,The Indian Face,The Indian Face,Talla,M,,1,
29696,variation,IF-R01-23M04C01-T5,8433856085761,Polera Born to be Free White - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,10,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M04C01,,,,,,2,8433856085761,The Indian Face,The Indian Face,Talla,L,,1,
29706,variation,IF-R01-23M04C03-T4,8433856085877,Polera Born to be Free Red - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,1,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M04C03,,,,,,2,8433856085877,The Indian Face,The Indian Face,Talla,M,,1,
29718,variation,IF-R02-23M01C01-T4,8433856086317,Poleron Sweatshirt Spirit White - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M01C01,,,,,,2,8433856086317,The Indian Face,The Indian Face,Talla,M,,1,
29726,variation,IF-R02-23M01C04-T4,,Poleron Sweatshirt Spirit Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M01C04,,,,,,2,8433856086638,The Indian Face,The Indian Face,Talla,M,,1,
29731,variation,IF-R02-23M01C05-T4,8433856086751,Poleron Sweatshirt Spirit Navy Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,3,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M01C05,,,,,,2,8433856086751,The Indian Face,The Indian Face,Talla,M,,1,
29743,variation,IF-R02-23M04C02-T4,8433856087345,Poleron Sweatshirt Nomad Navy Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M04C02,,,,,,2,8433856087345,The Indian Face,The Indian Face,Talla,M,,1,
29752,variation,IF-R02-23M05C01-T4,8433856087468,Poleron Hoodie Born to be Free White - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,5,,0,0,,,,,0,,,78990,,,,,,,IF-R02-23M05C01,,,,,,2,8433856087468,The Indian Face,The Indian Face,Talla,M,,1,
29760,variation,IF-R02-23M05C02-T4,8433856087529,Poleron Hoodie Born to be Free Green - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,78990,,,,,,,IF-R02-23M05C02,,,,,,2,8433856087529,The Indian Face,The Indian Face,Talla,M,,1,
29768,variation,IF-R02-23M05C03-T4,8433856087581,Poleron Hoodie Born to be Free Red - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,78990,,,,,,,IF-R02-23M05C03,,,,,,2,8433856087581,The Indian Face,The Indian Face,Talla,M,,1,
29776,variation,TA-S01-01-T4,8433856076462,Poleron Hoodie Born to be Free Blanco - M,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,78990,,,,,,,TA-S01-01,,,,,,2,8433856076462,The Indian Face,The Indian Face,Talla,M,,1,
31591,variation,TA-C01-01-T4,,Polera Original Blanca - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,TA-C01-01,,,,,,2,8433856075304,The Indian Face,The Indian Face,Talla,M,,1,
31596,variation,TA-C01-02-T4,,Polera Original Azul Marino - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,3,,0,0,,,,,0,,,32990,,,,,,,TA-C01-02,,,,,,2,8433856075342,The Indian Face,The Indian Face,Talla,M,,1,
31605,variation,TA-C02-06-T4,,Polera Soul Verde - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,TA-C02-06,,,,,,2,8433856075588,The Indian Face,The Indian Face,Talla,M,,1,
31612,variation,TA-C02-07-T4,,Polera Soul Amarilla - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,1,,0,0,,,,,0,,,32990,,,,,,,TA-C02-07,,,,,,2,8433856075625,The Indian Face,The Indian Face,Talla,M,,1,
31631,variation,UL-R01-23M01C03-T5,,Polera Alpine Navy Blue - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,5,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M01C03,,,,,,2,8433856088434,The Indian Face,The Indian Face,Talla,L,,1,
31640,variation,UL-R01-23M03C01-T4,,Polera Classic White - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C01,,,,,,2,8433856088717,The Indian Face,The Indian Face,Talla,M,,1,
31648,variation,UL-R01-23M03C05-T4,,Polera Classic Red - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C05,,,,,,2,8433856089158,The Indian Face,The Indian Face,Talla,M,,1,
31661,variation,UL-R01-23M03C06-T4,,Polera Classic Grey - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C06,,,,,,2,8433856089264,The Indian Face,The Indian Face,Talla,M,,1,
31670,variation,UL-R01-23M03C07-T4,,Polera Classic Navy Blue - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,UL-R01-23M03C07,,,,,,2,8433856089370,The Indian Face,The Indian Face,Talla,M,,1,
31679,variation,UL-R02-23M03C01-T4,,Poleron Hoodie Classic White - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,78990,,,,,,,UL-R02-23M03C01,,,,,,2,8433856090611,The Indian Face,The Indian Face,Talla,M,,1,
31686,variation,UL-R02-23M03C06-T4,,Poleron Hoodie Classic Grey - M,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,78990,,,,,,,UL-R02-23M03C06,,,,,,2,8433856091168,The Indian Face,The Indian Face,Talla,M,,1,
29594,variation,IF-R01-23M01C01-T5,8433856084672,Polera Spirit White - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,10,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C01,,,,,,3,8433856084672,The Indian Face,The Indian Face,Talla,L,,1,
