ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Precio rebajado,Precio normal,Posición,Inventario,¿Existencias?,Superior,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
24471,variation,MFF9100REN-SED42,Zapatillas Deportivas Travel - Hombre Shaded White - 42,1,visible,,119990,3,37,1,MFF9100REN-SED,Hunter,,size,42,,1,
24815,variation,MFF9100REN-LTB-42,Zapatillas Deportivas Travel - Hombre Verde Musgo - 42,1,visible,,119990,3,0,0,MFF9100REN-LTB,Hunter,,size,42,,1,
24828,variation,WFF1100REN-VPY-38,Zapatillas Deportivas Travel - Mujer - Red - 38,1,visible,,119990,3,23,1,WFF1100REN-VPY,Hunter,,size,38,,1,
20916,variation,MFF9100REN-BLK-43,Zapatillas Deportivas Travel - Hombre Black - 43,1,visible,,119990,4,0,0,MFF9100REN-BLK,Hunter,,size,43,,1,
20925,variation,MFF9100REN-ZSB-43,Zapatillas Deportivas Travel - Hombre Zesty Yellow - 43,1,visible,,119990,4,0,0,MFF9100REN-ZSB,Hunter,,size,43,,1,
20978,variation,WFF1100REN-BLK-39,Zapatillas Deportivas Travel - Mujer - Black - 39,1,visible,,119990,4,23,1,WFF1100REN-BLK,Hunter,,Talla,39,,1,
20985,variation,WFF1100REN-SSH-39,"Zapatillas Deportivas Travel - Mujer White, Green & Coral - 39",1,visible,,119990,4,5,1,WFF1100REN-SSH,Hunter,,Talla,39,,1,
20992,variation,WFF1100REN-SSA-39,Zapatillas Deportivas Travel - Mujer Shaded White - 39,1,visible,,119990,4,11,1,WFF1100REN-SSA,Hunter,,Talla,39,,1,
21007,variation,WFF1100REN-RCG-38,Zapatillas Deportivas Travel - Mujer Red Tang - 38,1,visible,,119990,4,4,1,WFF1100REN-RCG,Hunter,,Talla,38,,1,
21016,variation,WFF1100REN-BSH-39,Zapatillas Deportivas Travel - Mujer Black Shaded White - 39,1,visible,,119990,4,42,1,WFF1100REN-BSH,Hunter,,Talla,39,,1,
24451,variation,WFK2000PTP-BLK39,Zapatilla Travel Trainer Black Mujer - 39,1,visible,,,4,38,1,WFK2000PTP-BLK,Hunter,Hunter,size,39,,1,
24464,variation,MFK1000PTP-BLK43,Zapatilla Travel Trainer Black Hombre - 43,1,visible,,119990,4,1,1,MFK1000PTP-BLK,Hunter,Hunter,size,43,,1,
24472,variation,MFF9100REN-SED43,Zapatillas Deportivas Travel - Hombre Shaded White - 43,1,visible,,119990,4,38,1,MFF9100REN-SED,Hunter,,size,43,,1,
24816,variation,MFF9100REN-LTB-43,Zapatillas Deportivas Travel - Hombre Verde Musgo - 43,1,visible,,119990,4,0,0,MFF9100REN-LTB,Hunter,,size,43,,1,
24829,variation,WFF1100REN-VPY-39,Zapatillas Deportivas Travel - Mujer - Red - 39,1,visible,,119990,4,21,1,WFF1100REN-VPY,Hunter,,size,39,,1,
20917,variation,MFF9100REN-BLK-44,Zapatillas Deportivas Travel - Hombre Black - 44,1,visible,,119990,5,2,1,MFF9100REN-BLK,Hunter,,size,44,,1,
20926,variation,MFF9100REN-ZSB-44,Zapatillas Deportivas Travel - Hombre Zesty Yellow - 44,1,visible,,119990,5,8,1,MFF9100REN-ZSB,Hunter,,size,44,,1,
20979,variation,WFF1100REN-BLK-40,Zapatillas Deportivas Travel - Mujer - Black - 40/41,1,visible,,119990,5,16,1,WFF1100REN-BLK,Hunter,,Talla,40/41,,1,
20986,variation,WFF1100REN-SSH-40,"Zapatillas Deportivas Travel - Mujer White, Green & Coral - 40/41",1,visible,,119990,5,0,0,WFF1100REN-SSH,Hunter,,Talla,40/41,,1,
20993,variation,WFF1100REN-SSA-40,Zapatillas Deportivas Travel - Mujer Shaded White - 40/41,1,visible,,119990,5,0,0,WFF1100REN-SSA,Hunter,,Talla,40/41,,1,
21008,variation,WFF1100REN-RCG-39,Zapatillas Deportivas Travel - Mujer Red Tang - 39,1,visible,,119990,5,3,1,WFF1100REN-RCG,Hunter,,Talla,39,,1,
21017,variation,WFF1100REN-BSH-40,Zapatillas Deportivas Travel - Mujer Black Shaded White - 40/41,1,visible,,119990,5,20,1,WFF1100REN-BSH,Hunter,,Talla,40/41,,1,
24453,variation,WFK2000PTP-BLK40,Zapatilla Travel Trainer Black Mujer - 40/41,1,visible,,,5,13,1,WFK2000PTP-BLK,Hunter,Hunter,size,40/41,,1,
24465,variation,MFK1000PTP-BLK44,Zapatilla Travel Trainer Black Hombre - 44,1,visible,,119990,5,7,1,MFK1000PTP-BLK,Hunter,Hunter,size,44,,1,
24473,variation,MFF9100REN-SED44,Zapatillas Deportivas Travel - Hombre Shaded White - 44,1,visible,,119990,5,23,1,MFF9100REN-SED,Hunter,,size,44,,1,
24817,variation,MFF9100REN-LTB-44,Zapatillas Deportivas Travel - Hombre Verde Musgo - 44,1,visible,,119990,5,0,0,MFF9100REN-LTB,Hunter,,size,44,,1,
24830,variation,WFF1100REN-VPY-40,Zapatillas Deportivas Travel - Mujer - Red - 40/41,1,visible,,119990,5,16,1,WFF1100REN-VPY,Hunter,,size,40/41,,1,
20918,variation,MFF9100REN-BLK-45,Zapatillas Deportivas Travel - Hombre Black - 45/46,1,visible,,119990,6,12,1,MFF9100REN-BLK,Hunter,,size,45/46,,1,
20927,variation,MFF9100REN-ZSB-45,Zapatillas Deportivas Travel - Hombre Zesty Yellow - 45/46,1,visible,,119990,6,11,1,MFF9100REN-ZSB,Hunter,,size,45/46,,1,
24466,variation,MFK1000PTP-BLK45,Zapatilla Travel Trainer Black Hombre - 45/46,1,visible,,119990,6,11,1,MFK1000PTP-BLK,Hunter,Hunter,size,45/46,,1,
24474,variation,MFF9100REN-SED45,Zapatillas Deportivas Travel - Hombre Shaded White - 45/46,1,visible,,119990,6,14,1,MFF9100REN-SED,Hunter,,size,45/46,,1,
24818,variation,MFF9100R5N-LTB-44,Zapatillas Deportivas Travel - Hombre Verde Musgo - 45/46,1,visible,,119990,6,0,0,MFF9100REN-LTB,Hunter,,size,45/46,,1,
24447,variable,WFK2000PTP-BLK,Zapatilla Travel Trainer Black Mujer,0,visible,,,13,,0,,Hunter,Hunter,size,"36, 37, 38, 39, 40/41",1,1,
20981,variable,WFF1100REN-SSH,"Zapatillas Deportivas Travel - Mujer White, Green & Coral",1,visible,,,365,31,1,,Hunter,,Talla,"36, 37, 38, 39, 40/41",1,1,
21012,variable,WFF1100REN-BSH,Zapatillas Deportivas Travel - Mujer Black Shaded White,1,visible,,,366,216,1,,Hunter,,Talla,"36, 37, 38, 39, 40/41",1,1,
20988,variable,WFF1100REN-SSA,Zapatillas Deportivas Travel - Mujer Shaded White,1,visible,,,367,32,1,,Hunter,,Talla,"36, 37, 38, 39, 40/41",1,1,
24468,variable,MFF9100REN-SED,Zapatillas Deportivas Travel - Hombre Shaded White,1,visible,,,368,,1,,Hunter,,size,"39, 40/41, 42, 43, 44, 45/46",1,1,
24825,variable,WFF1100REN-VPY,Zapatillas Deportivas Travel - Mujer - Red,1,visible,,,369,,1,,Hunter,,size,"36, 37, 38, 39, 40/41",1,1,
21003,variable,WFF1100REN-RCG,Zapatillas Deportivas Travel - Mujer Red Tang,1,visible,,,370,,1,,Hunter,,Talla,"40/41, 36, 37, 38, 39",1,1,
20930,variable,WFF1100REN-BLK,Zapatillas Deportivas Travel - Mujer - Black,1,visible,,,371,,1,,Hunter,,Talla,"36, 37, 38, 39, 40/41",1,1,
24812,variable,MFF9100REN-LTB,Zapatillas Deportivas Travel - Hombre Verde Musgo,1,visible,,,373,,1,,Hunter,,size,"39, 40/41, 42, 43, 44, 45/46",1,1,
20920,variable,MFF9100REN-ZSB,Zapatillas Deportivas Travel - Hombre Zesty Yellow,1,visible,,,374,,1,,Hunter,,size,"39, 40/41, 42, 43, 44, 45/46",1,1,
20911,variable,MFF9100REN-BLK,Zapatillas Deportivas Travel - Hombre Black,1,visible,,,375,,1,,Hunter,,size,"40/41, 39, 42, 43, 44, 45/46",1,1,
24458,variable,MFK1000PTP-BLK,Zapatilla Travel Trainer Black Hombre,1,visible,,,376,,1,,Hunter,Hunter,size,"39, 40/41, 42, 43, 44, 45/46",1,1,
