ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior
21837,variable,WFS1018RGL-BLK,Botas Chelsea Commando Negras Brillantes Para Mujer,,,1,"Botas, Hunter, Impermeables, Negro, Vegano, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18551,variable,WFS2020RMA-LRD,Botas de Agua Bajas Play para Mujer Rojo,,,1,"Impermeables, Invierno, Top 7 regalos para Mamá, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18937,variable,WFS2020RMA-ZNC,Botas De Agua Bajas Original Play Para Mujer ZNC,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18525,variable,WFS2020RMA-BLK,Botas De Agua Bajas Play Mujer Negro,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
21892,variable,WFS2020RMA-APL,Botas De Agua Play Cortas Para Mujer Rosada,,,1,"Botas, Hunter, Impermeables, Rosadas, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
19848,variable,WFS2018RMA-DOC,Bota Corta de Jardinera,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
21201,variable,WFS2336REN-BLK,Botas Commando Travel Explorer Black - Mujer,,,1,"Botas, Bototos, Hunter, Mujer, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatos",Hunter,Hunter,
21208,variable,WFS2336REN-SED,Botas Commando Travel Explorer White - Mujer,,,1,"Botas, Bototos, Hunter, Mujer, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatos",Hunter,Hunter,
19887,variable,WRO1323RSF-NVY,Chaqueta plegable ligera reciclada para mujer,,,1,"Invierno, Navy, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
19989,simple,UAU1004UPM-PKB,PARAGUAS BURBUJA MOUSTACHE AZUL,29994,49990,1,"Impermeables, Invierno, Moustache, Navy, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Paraguas, Tipo de producto",Hunter,Hunter,
20665,variable,MFS2335LNR-BLK,Botas Commando de Piel Con Cordones Urban Explorer Para Hombre,,,1,"Botas, Bototos, Hombre, Hunter, Ofertas","Tipo de producto > Botas, Género, Género > Hombre, Tipo de producto",Hunter,Hunter,
