ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
19075,variation,WFS1043RMA-BLK36,Botas Chelsea Original Para Mujer Negro 1 - 36,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19076,variation,WFS1043RMA-BLK37,Botas Chelsea Original Para Mujer Negro 1 - 37,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19077,variation,WFS1043RMA-BLK38,Botas Chelsea Original Para Mujer Negro 1 - 38,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19078,variation,WFS1043RMA-BLK39,Botas Chelsea Original Para Mujer Negro 1 - 39,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19079,variation,WFS1043RMA-BLK40/41,Botas Chelsea Original Para Mujer Negro 1 - 40/41,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19080,variation,WFS1043RMA-BLK42,Botas Chelsea Original Para Mujer Negro 1 - 42,70194,116990,1,,,Hunter,,WFS1043RMA-BLK,Accesorios 40% off
19081,variation,WFS1043RMA-MLR36,Botas Chelsea Original Para Mujer Rojo Militar - 36,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19082,variation,WFS1043RMA-MLR37,Botas Chelsea Original Para Mujer Rojo Militar - 37,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19083,variation,WFS1043RMA-MLR38,Botas Chelsea Original Para Mujer Rojo Militar - 38,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19084,variation,WFS1043RMA-MLR39,Botas Chelsea Original Para Mujer Rojo Militar - 39,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19085,variation,WFS1043RMA-MLR40/41,Botas Chelsea Original Para Mujer Rojo Militar - 40/41,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19086,variation,WFS1043RMA-MLR42,Botas Chelsea Original Para Mujer Rojo Militar - 42,70194,116990,1,,,Hunter,,WFS1043RMA-MLR,Accesorios 40% off
19093,variation,WFS1071RMA-NYG36,BOTINES HUNTER WFS1071R AZUL 4 - 36,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
19094,variation,WFS1071RMA-NYG37,BOTINES HUNTER WFS1071R AZUL 4 - 37,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
19095,variation,WFS1071RMA-NYG38,BOTINES HUNTER WFS1071R AZUL 4 - 38,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
