ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
18598,variation,WFT1000RGL-DOV40/41,,Botas Altas Y Brillantes Original Para Mujer Verde Oliva - 40/41,1,0,visible,,,,,taxable,parent,0,0,,0,0,2,35,,12,0,,77994,129990,,,,,,,WFT1000RGL-DOV,,,,,,1,5054916098496,Hunter,,Talla,40/41,,1,
18616,variation,WFT1000RMA-DOV40/41,,Botas De Agua Altas Original Para Mujer Verde Oliva - 40/41,1,0,visible,,,,,taxable,parent,0,0,,0,0,2,32,,11,0,,77994,129990,,,,,,,WFT1000RMA-DOV,,,,,,1,5013441352978,Hunter,,Talla,40/41,,1,
18630,variation,WAS1017AAC-BLKM,,CALCETIN CAR BOTA CORTA NEGRO - M,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,23994,39990,,,,,,,WAS1017AAC-BLK,,,,,,1,5013441694924,Hunter,,size,M,,1,
18631,variation,WAS1017AAC-BLKL,,CALCETIN CAR BOTA CORTA NEGRO - L,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,23994,39990,,,,,,,WAS1017AAC-BLK,,,,,,1,5013441694931,Hunter,,size,L,,1,
18632,variation,UAS3000AAA-CRMM,,HUNTER CALCETIN BOTA CREMA - M,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,14994,24990,,,,,,,UAS3000AAA-CRM,,,,,,1,5013441380773,Hunter,,size,M,,1,
18633,variation,UAS3000AAA-CRML,,HUNTER CALCETIN BOTA CREMA - L,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,14994,24990,,,,,,,UAS3000AAA-CRM,,,,,,1,5013441380780,Hunter,,size,L,,1,
19028,variation,JFT6000RMA-CAC33,,Botas De Agua Original Para Niños Verde Cactus - 33,1,0,visible,,,,,taxable,parent,0,0,,0,0,1.7,32,,14,0,,41994,69990,,,,,,,JFT6000RMA-CAC,,,,,,1,5054916121477,Hunter,,Talla,33,,1,
19029,variation,JFT6000RMA-CAC34/35,,Botas De Agua Original Para Niños Verde Cactus - 34/35,1,0,visible,,,,,taxable,parent,0,0,,0,0,1.7,32,,14,0,,41994,69990,,,,,,,JFT6000RMA-CAC,,,,,,1,5054916121507,Hunter,,Talla,34/35,,1,
19030,variation,JFT6000RMA-CAC36,,Botas De Agua Original Para Niños Verde Cactus - 36,1,0,visible,,,,,taxable,parent,0,0,,0,0,1.7,32,,14,0,,41994,69990,,,,,,,JFT6000RMA-CAC,,,,,,1,5054916121514,Hunter,,Talla,36,,1,
19031,variation,JFT6000RMA-CAC37,,Botas De Agua Original Para Niños Verde Cactus - 37,1,0,visible,,,,,taxable,parent,0,0,,0,0,1.7,32,,14,0,,41994,69990,,,,,,,JFT6000RMA-CAC,,,,,,1,5054916121521,Hunter,,Talla,37,,1,
19045,variation,MFT9000RMA-HGR45/46,,Botas De Agua Altas Original Para Hombre Verde - 45/46,1,0,visible,,,,,taxable,parent,0,0,,0,0,2,28,,13,0,,89994,149990,,,,,,,MFT9000RMA-HGR,,,,,,1,5013441733067,Hunter,,Talla,45/46,,1,
19053,variation,UAS3036AAB-NWHL,,HUNTER CALCETIN BOTA 6 PUNTADAS - L,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,23994,39990,,,,,,,UAS3036AAB-NWH,,,,,,1,5013441858005,Hunter,,size,L,,1,
19054,variation,UAS3036AAB-NWHM,,HUNTER CALCETIN BOTA 6 PUNTADAS - M,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,23994,39990,,,,,,,UAS3036AAB-NWH,,,,,,1,5013441857992,Hunter,,size,M,,1,
19060,variation,WAS1017AAC-REDM,,CALCETIN BOTA CORTA ROJO - M,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,23994,39990,,,,,,,WAS1017AAC-RED,,,,,,1,5013441860756,Hunter,Hunter,size,M,,1,
19063,variation,WFF1077NRE-BLK36,,ZAP SHERPA NEGRO - 36,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.4,15,,7,0,,53994,89990,,,,,,,WFF1077NRE-BLK,,,,,,1,5054916542654,Hunter,Hunter,Talla,36,,1,
